#framenumber time energy filename iter
6060 3.03 0 worm_006060.vtu 0
6070 3.035 0 worm_006070.vtu 0
6080 3.04 0 worm_006080.vtu 0
6090 3.045 0 worm_006090.vtu 0
6100 3.05 0 worm_006100.vtu 0
6110 3.055 0 worm_006110.vtu 0
6120 3.06 0 worm_006120.vtu 0
6130 3.065 0 worm_006130.vtu 0
6140 3.07 0 worm_006140.vtu 0
6150 3.075 0 worm_006150.vtu 0
6160 3.08 0 worm_006160.vtu 0
6170 3.085 0 worm_006170.vtu 0
6180 3.09 0 worm_006180.vtu 0
6190 3.095 0 worm_006190.vtu 0
6200 3.1 0 worm_006200.vtu 0
6210 3.105 0 worm_006210.vtu 0
6220 3.11 0 worm_006220.vtu 0
6230 3.115 0 worm_006230.vtu 0
6240 3.12 0 worm_006240.vtu 0
6250 3.125 0 worm_006250.vtu 0
6260 3.13 0 worm_006260.vtu 0
6270 3.135 0 worm_006270.vtu 0
6280 3.14 0 worm_006280.vtu 0
6290 3.145 0 worm_006290.vtu 0
6300 3.15 0 worm_006300.vtu 0
6310 3.155 0 worm_006310.vtu 0
6320 3.16 0 worm_006320.vtu 0
6330 3.165 0 worm_006330.vtu 0
6340 3.17 0 worm_006340.vtu 0
6350 3.175 0 worm_006350.vtu 0
6360 3.18 0 worm_006360.vtu 0
6370 3.185 0 worm_006370.vtu 0
6380 3.19 0 worm_006380.vtu 0
6390 3.195 0 worm_006390.vtu 0
6400 3.2 0 worm_006400.vtu 0
6410 3.205 0 worm_006410.vtu 0
6420 3.21 0 worm_006420.vtu 0
6430 3.215 0 worm_006430.vtu 0
6440 3.22 0 worm_006440.vtu 0
6450 3.225 0 worm_006450.vtu 0
6460 3.23 0 worm_006460.vtu 0
6470 3.235 0 worm_006470.vtu 0
6480 3.24 0 worm_006480.vtu 0
6490 3.245 0 worm_006490.vtu 0
